EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,BUY_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE,SM_UPPER_LIMIT,SM_LOWER_LIMIT,Unnamed: 31
NSE,D,55174,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27650-CE,NIFTY 13 APR 27650 CALL,OP,,65.0,2026-04-13,27650.0,CE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55175,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-7500-CE,NIFTY 30 JUN 7500 CALL,OP,,65.0,2026-06-30,7500.0,CE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,15932.55,14732.75,
NSE,D,55176,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-7500-PE,NIFTY 30 JUN 7500 PUT,OP,,65.0,2026-06-30,7500.0,PE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55177,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-10500-CE,NIFTY 30 JUN 10500 CALL,OP,,65.0,2026-06-30,10500.0,CE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,12980.4,11780.6,
NSE,D,55178,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-10500-PE,NIFTY 30 JUN 10500 PUT,OP,,65.0,2026-06-30,10500.0,PE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55179,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-13500-CE,NIFTY 30 JUN 13500 CALL,OP,,65.0,2026-06-30,13500.0,CE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,10028.15,8828.45,
NSE,D,55180,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-13500-PE,NIFTY 30 JUN 13500 PUT,OP,,65.0,2026-06-30,13500.0,PE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55181,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-16500-CE,NIFTY 30 JUN 16500 CALL,OP,,65.0,2026-06-30,16500.0,CE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,7067.2,5867.5,
NSE,D,55182,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-16500-PE,NIFTY 30 JUN 16500 PUT,OP,,65.0,2026-06-30,16500.0,PE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55183,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-19500-CE,NIFTY 30 JUN 19500 CALL,OP,,65.0,2026-06-30,19500.0,CE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,4115.15,2936.85,
