SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,35062,OPTIDX,0,FINNIFTY-Apr2026-27650-CE,60.0,FINNIFTY 28 APR 27650 CALL,2026-04-28 14:30:00,27650.0,CE,5.0,M,OP,,
NSE,D,35063,OPTIDX,0,FINNIFTY-Apr2026-27650-PE,60.0,FINNIFTY 28 APR 27650 PUT,2026-04-28 14:30:00,27650.0,PE,5.0,M,OP,,
NSE,D,35064,OPTIDX,0,FINNIFTY-Apr2026-27750-CE,60.0,FINNIFTY 28 APR 27750 CALL,2026-04-28 14:30:00,27750.0,CE,5.0,M,OP,,
NSE,D,35065,OPTIDX,0,FINNIFTY-Apr2026-27750-PE,60.0,FINNIFTY 28 APR 27750 PUT,2026-04-28 14:30:00,27750.0,PE,5.0,M,OP,,
NSE,D,35066,OPTIDX,0,NIFTYNXT50-May2026-82200-CE,25.0,NIFTYNXT50 26 MAY 82200 CALL,2026-05-26 14:30:00,82200.0,CE,5.0,M,OP,,
NSE,D,35067,OPTIDX,0,NIFTYNXT50-May2026-82200-PE,25.0,NIFTYNXT50 26 MAY 82200 PUT,2026-05-26 14:30:00,82200.0,PE,5.0,M,OP,,
NSE,D,35068,OPTIDX,0,FINNIFTY-Jun2026-29600-CE,60.0,FINNIFTY 30 JUN 29600 CALL,2026-06-30 14:30:00,29600.0,CE,5.0,M,OP,,
NSE,D,35069,OPTIDX,0,FINNIFTY-Jun2026-29600-PE,60.0,FINNIFTY 30 JUN 29600 PUT,2026-06-30 14:30:00,29600.0,PE,5.0,M,OP,,
NSE,D,35070,OPTIDX,0,FINNIFTY-Apr2026-33200-CE,60.0,FINNIFTY 28 APR 33200 CALL,2026-04-28 14:30:00,33200.0,CE,5.0,M,OP,,
NSE,D,35071,OPTIDX,0,FINNIFTY-Apr2026-33200-PE,60.0,FINNIFTY 28 APR 33200 PUT,2026-04-28 14:30:00,33200.0,PE,5.0,M,OP,,
NSE,D,35072,OPTIDX,0,FINNIFTY-Apr2026-33300-CE,60.0,FINNIFTY 28 APR 33300 CALL,2026-04-28 14:30:00,33300.0,CE,5.0,M,OP,,
NSE,D,35073,OPTIDX,0,FINNIFTY-Apr2026-33300-PE,60.0,FINNIFTY 28 APR 33300 PUT,2026-04-28 14:30:00,33300.0,PE,5.0,M,OP,,
NSE,D,35074,OPTIDX,0,FINNIFTY-Apr2026-36500-CE,60.0,FINNIFTY 28 APR 36500 CALL,2026-04-28 14:30:00,36500.0,CE,5.0,M,OP,,
NSE,D,35075,OPTIDX,0,FINNIFTY-Apr2026-36500-PE,60.0,FINNIFTY 28 APR 36500 PUT,2026-04-28 14:30:00,36500.0,PE,5.0,M,OP,,
NSE,D,35076,OPTIDX,0,NIFTYNXT50-May2026-82300-CE,25.0,NIFTYNXT50 26 MAY 82300 CALL,2026-05-26 14:30:00,82300.0,CE,5.0,M,OP,,
